__fxdriver_unwrapped,connectEnd,connectStart,domComplete,domContentLoadedEventEnd,domContentLoadedEventStart,domInteractive,domLoading,domainLookupEnd,domainLookupStart,fetchStart,loadEventEnd,loadEventStart,navigationStart,redirectEnd,redirectStart,requestStart,responseEnd,responseStart,responseWaitTime,totalLoadWaitTime,unloadEventEnd,unloadEventStart
true,1352692814526,1352692814526,1352692819568,1352692819527,1352692819526,1352692819522,1352692819456,1352692814517,1352692814516,1352692814526,1352692819569,1352692819568,1352692814515,0,0,1352692814539,1352692819455,1352692819455,4916,5030,0,0
true,1352692819703,1352692819703,1352692824824,1352692824817,1352692824816,1352692824814,1352692824787,1352692819702,1352692819702,1352692819703,1352692824825,1352692824824,1352692819702,0,0,1352692819703,1352692824787,1352692824787,5084,5122,1352692824788,1352692824787
true,1352692824897,1352692824897,1352692828878,1352692828870,1352692828870,1352692828869,1352692828851,1352692824897,1352692824897,1352692824897,1352692828879,1352692828878,1352692824897,0,0,1352692824899,1352692828850,1352692828850,3951,3980,1352692828851,1352692828851
true,1352692828945,1352692828945,1352692834334,1352692834327,1352692834326,1352692834317,1352692834297,1352692828944,1352692828944,1352692828945,1352692834335,1352692834334,1352692828944,0,0,1352692828945,1352692834297,1352692834297,5352,5390,1352692834298,1352692834297
true,1352692834411,1352692834411,1352692839654,1352692839647,1352692839646,1352692839645,1352692839626,1352692834410,1352692834410,1352692834411,1352692839655,1352692839654,1352692834410,0,0,1352692834412,1352692839626,1352692839626,5214,5243,1352692839627,1352692839626
true,1352692839722,1352692839722,1352692843890,1352692843883,1352692843882,1352692843880,1352692843859,1352692839721,1352692839721,1352692839722,1352692843890,1352692843890,1352692839721,0,0,1352692839722,1352692843858,1352692843858,4136,4168,1352692843859,1352692843859
true,1352692843992,1352692843992,1352692848359,1352692848350,1352692848350,1352692848348,1352692848331,1352692843991,1352692843991,1352692843992,1352692848359,1352692848359,1352692843991,0,0,1352692843992,1352692848330,1352692848330,4338,4367,1352692848331,1352692848331
true,1352692848424,1352692848424,1352692853360,1352692853353,1352692853353,1352692853351,1352692853324,1352692848423,1352692848423,1352692848424,1352692853361,1352692853360,1352692848423,0,0,1352692848424,1352692853323,1352692853323,4899,4937,1352692853324,1352692853324
true,1352692853435,1352692853435,1352692857911,1352692857903,1352692857902,1352692857894,1352692857875,1352692853434,1352692853434,1352692853435,1352692857911,1352692857911,1352692853434,0,0,1352692853435,1352692857872,1352692857872,4437,4476,1352692857875,1352692857875
true,1352692857985,1352692857985,1352692862414,1352692862407,1352692862406,1352692862405,1352692862377,1352692857984,1352692857984,1352692857985,1352692862414,1352692862414,1352692857984,0,0,1352692857985,1352692862377,1352692862377,4392,4429,1352692862378,1352692862377
true,1352692862493,1352692862493,1352692867720,1352692867712,1352692867711,1352692867702,1352692867683,1352692862492,1352692862492,1352692862493,1352692867721,1352692867720,1352692862492,0,0,1352692862494,1352692867682,1352692867682,5188,5227,1352692867683,1352692867683
true,1352692867795,1352692867795,1352692872877,1352692872870,1352692872869,1352692872868,1352692872839,1352692867794,1352692867794,1352692867795,1352692872877,1352692872877,1352692867794,0,0,1352692867796,1352692872839,1352692872839,5043,5081,1352692872840,1352692872840
true,1352692872954,1352692872954,1352692877060,1352692877053,1352692877052,1352692877051,1352692877032,1352692872953,1352692872953,1352692872954,1352692877061,1352692877060,1352692872953,0,0,1352692872954,1352692877032,1352692877032,4078,4107,1352692877032,1352692877032
true,1352692877130,1352692877130,1352692882252,1352692882245,1352692882244,1352692882242,1352692882220,1352692877129,1352692877129,1352692877130,1352692882253,1352692882252,1352692877129,0,0,1352692877143,1352692882220,1352692882220,5077,5110,1352692882221,1352692882220
true,1352692882333,1352692882333,1352692887881,1352692887874,1352692887873,1352692887871,1352692887842,1352692882332,1352692882332,1352692882333,1352692887881,1352692887881,1352692882332,0,0,1352692882335,1352692887842,1352692887842,5507,5546,1352692887843,1352692887842
true,1352692887958,1352692887958,1352692893527,1352692893520,1352692893519,1352692893518,1352692893489,1352692887957,1352692887957,1352692887958,1352692893527,1352692893527,1352692887957,0,0,1352692887960,1352692893489,1352692893489,5529,5567,1352692893490,1352692893489
true,1352692893604,1352692893604,1352692898694,1352692898686,1352692898686,1352692898684,1352692898648,1352692893603,1352692893603,1352692893604,1352692898695,1352692898694,1352692893603,0,0,1352692893604,1352692898647,1352692898647,5043,5091,1352692898648,1352692898648
