__fxdriver_unwrapped,connectEnd,connectStart,domComplete,domContentLoadedEventEnd,domContentLoadedEventStart,domInteractive,domLoading,domainLookupEnd,domainLookupStart,fetchStart,loadEventEnd,loadEventStart,navigationStart,redirectEnd,redirectStart,requestStart,responseEnd,responseStart,responseWaitTime,totalLoadWaitTime,unloadEventEnd,unloadEventStart
true,1352692266895,1352692266895,1352692269483,1352692269483,1352692269475,1352692269474,1352692266915,1352692266886,1352692266885,1352692266895,1352692269484,1352692269483,1352692266884,0,0,1352692266906,1352692269473,1352692266909,932,2578,0,0
true,1352692269553,1352692269553,1352692272299,1352692272299,1352692272292,1352692272291,1352692269558,1352692269552,1352692269552,1352692269553,1352692272300,1352692272299,1352692269552,0,0,1352692269554,1352692272290,1352692269558,983,2746,1352692269559,1352692269558
true,1352692272365,1352692272365,1352692275005,1352692275004,1352692274998,1352692274997,1352692272369,1352692272365,1352692272365,1352692272365,1352692275005,1352692275005,1352692272365,0,0,1352692272366,1352692274996,1352692272369,985,2639,1352692272370,1352692272370
true,1352692275061,1352692275061,1352692278095,1352692278095,1352692278088,1352692278087,1352692275066,1352692275061,1352692275061,1352692275061,1352692278096,1352692278095,1352692275061,0,0,1352692275062,1352692278087,1352692275065,1130,3034,1352692275066,1352692275066
true,1352692278161,1352692278161,1352692280696,1352692280696,1352692280689,1352692280688,1352692278217,1352692278160,1352692278160,1352692278161,1352692280697,1352692280696,1352692278160,0,0,1352692278213,1352692280688,1352692278216,818,2484,1352692278217,1352692278217
true,1352692280762,1352692280762,1352692283352,1352692283351,1352692283345,1352692283344,1352692280766,1352692280761,1352692280761,1352692280762,1352692283352,1352692283352,1352692280761,0,0,1352692280762,1352692283343,1352692280766,908,2590,1352692280766,1352692280766
true,1352692283416,1352692283416,1352692285758,1352692285758,1352692285751,1352692285750,1352692283421,1352692283415,1352692283415,1352692283416,1352692285759,1352692285758,1352692283415,0,0,1352692283417,1352692285750,1352692283420,837,2342,1352692283421,1352692283421
true,1352692285814,1352692285814,1352692288259,1352692288258,1352692288252,1352692288251,1352692285818,1352692285813,1352692285813,1352692285814,1352692288259,1352692288259,1352692285813,0,0,1352692285814,1352692288249,1352692285818,977,2445,1352692285818,1352692285818
true,1352692288315,1352692288315,1352692290868,1352692290867,1352692290861,1352692290859,1352692288319,1352692288314,1352692288314,1352692288315,1352692290868,1352692290868,1352692288314,0,0,1352692288315,1352692290859,1352692288318,925,2553,1352692288319,1352692288319
true,1352692290922,1352692290922,1352692293562,1352692293562,1352692293556,1352692293555,1352692290926,1352692290921,1352692290921,1352692290922,1352692293563,1352692293562,1352692290921,0,0,1352692290922,1352692293554,1352692290926,909,2641,1352692290926,1352692290926
