__fxdriver_unwrapped,connectEnd,connectStart,domComplete,domContentLoadedEventEnd,domContentLoadedEventStart,domInteractive,domLoading,domainLookupEnd,domainLookupStart,fetchStart,loadEventEnd,loadEventStart,navigationStart,redirectEnd,redirectStart,requestStart,responseEnd,responseStart,responseWaitTime,totalLoadWaitTime,unloadEventEnd,unloadEventStart
true,1352691398484,1352691398484,1352691400523,1352691398718,1352691398717,1352691398695,1352691398653,1352691398476,1352691398475,1352691398484,1352691400524,1352691400523,1352691398474,0,0,1352691398495,1352691398653,1352691398653,158,2029,0,0
true,1352691400615,1352691400615,1352691400781,1352691400778,1352691400778,1352691400777,1352691400766,1352691400615,1352691400615,1352691400615,1352691400782,1352691400782,1352691400615,0,0,1352691400616,1352691400766,1352691400766,150,166,1352691400766,1352691400766
true,1352691400823,1352691400823,1352691400994,1352691400990,1352691400990,1352691400989,1352691400979,1352691400823,1352691400823,1352691400823,1352691400994,1352691400994,1352691400823,0,0,1352691400831,1352691400979,1352691400979,148,163,1352691400979,1352691400979
true,1352691401036,1352691401036,1352691401196,1352691401193,1352691401192,1352691401192,1352691401181,1352691401036,1352691401036,1352691401036,1352691401196,1352691401196,1352691401036,0,0,1352691401037,1352691401181,1352691401181,144,159,1352691401182,1352691401182
true,1352691401238,1352691401238,1352691401395,1352691401391,1352691401391,1352691401390,1352691401380,1352691401238,1352691401238,1352691401238,1352691401395,1352691401395,1352691401238,0,0,1352691401239,1352691401380,1352691401380,141,156,1352691401380,1352691401380
true,1352691401436,1352691401436,1352691401607,1352691401603,1352691401603,1352691401602,1352691401592,1352691401436,1352691401436,1352691401436,1352691401607,1352691401607,1352691401436,0,0,1352691401437,1352691401592,1352691401592,155,170,1352691401592,1352691401592
true,1352691401652,1352691401652,1352691401815,1352691401811,1352691401811,1352691401810,1352691401800,1352691401652,1352691401652,1352691401652,1352691401815,1352691401815,1352691401652,0,0,1352691401661,1352691401800,1352691401800,139,154,1352691401800,1352691401800
true,1352691401857,1352691401857,1352691402016,1352691402012,1352691402012,1352691402011,1352691402001,1352691401856,1352691401856,1352691401857,1352691402016,1352691402016,1352691401856,0,0,1352691401857,1352691402000,1352691402000,143,159,1352691402001,1352691402001
true,1352691402058,1352691402058,1352691402222,1352691402218,1352691402218,1352691402217,1352691402206,1352691402057,1352691402057,1352691402058,1352691402222,1352691402222,1352691402057,0,0,1352691402059,1352691402206,1352691402206,147,163,1352691402206,1352691402206
true,1352691402266,1352691402266,1352691402426,1352691402423,1352691402423,1352691402422,1352691402411,1352691402266,1352691402266,1352691402266,1352691402427,1352691402426,1352691402266,0,0,1352691402267,1352691402411,1352691402411,144,160,1352691402412,1352691402412
true,1352691402476,1352691402476,1352691402644,1352691402641,1352691402640,1352691402639,1352691402627,1352691402476,1352691402476,1352691402476,1352691402644,1352691402644,1352691402476,0,0,1352691402477,1352691402627,1352691402627,150,167,1352691402628,1352691402627
true,1352691402685,1352691402685,1352691402847,1352691402844,1352691402844,1352691402843,1352691402832,1352691402685,1352691402685,1352691402685,1352691402848,1352691402847,1352691402685,0,0,1352691402686,1352691402832,1352691402832,146,162,1352691402832,1352691402832
true,1352691402889,1352691402889,1352691403052,1352691403048,1352691403048,1352691403047,1352691403036,1352691402889,1352691402889,1352691402889,1352691403052,1352691403052,1352691402889,0,0,1352691402890,1352691403036,1352691403036,146,162,1352691403036,1352691403036
true,1352691403094,1352691403094,1352691403252,1352691403248,1352691403248,1352691403247,1352691403237,1352691403094,1352691403094,1352691403094,1352691403252,1352691403252,1352691403094,0,0,1352691403095,1352691403237,1352691403237,142,157,1352691403237,1352691403237
true,1352691403294,1352691403294,1352691403455,1352691403451,1352691403451,1352691403450,1352691403439,1352691403294,1352691403294,1352691403294,1352691403455,1352691403455,1352691403294,0,0,1352691403295,1352691403439,1352691403438,143,160,1352691403439,1352691403439
true,1352691403497,1352691403497,1352691403666,1352691403662,1352691403662,1352691403660,1352691403649,1352691403497,1352691403497,1352691403497,1352691403666,1352691403666,1352691403497,0,0,1352691403498,1352691403649,1352691403649,151,168,1352691403650,1352691403649
true,1352691403710,1352691403710,1352691403871,1352691403868,1352691403868,1352691403867,1352691403853,1352691403710,1352691403710,1352691403710,1352691403872,1352691403871,1352691403710,0,0,1352691403711,1352691403853,1352691403853,142,161,1352691403853,1352691403853
true,1352691403914,1352691403914,1352691404074,1352691404070,1352691404070,1352691404069,1352691404058,1352691403914,1352691403914,1352691403914,1352691404074,1352691404074,1352691403914,0,0,1352691403915,1352691404057,1352691404057,142,159,1352691404058,1352691404058
true,1352691404184,1352691404184,1352691404347,1352691404343,1352691404343,1352691404341,1352691404329,1352691404183,1352691404183,1352691404184,1352691404347,1352691404347,1352691404183,0,0,1352691404184,1352691404329,1352691404329,145,163,1352691404329,1352691404329
true,1352691404410,1352691404410,1352691404580,1352691404576,1352691404576,1352691404574,1352691404562,1352691404409,1352691404409,1352691404410,1352691404580,1352691404580,1352691404409,0,0,1352691404411,1352691404562,1352691404561,150,169,1352691404562,1352691404562
true,1352691404626,1352691404626,1352691404794,1352691404791,1352691404790,1352691404789,1352691404778,1352691404626,1352691404626,1352691404626,1352691404794,1352691404794,1352691404626,0,0,1352691404627,1352691404778,1352691404778,151,167,1352691404779,1352691404778
true,1352691404836,1352691404836,1352691405001,1352691404997,1352691404997,1352691404996,1352691404985,1352691404836,1352691404836,1352691404836,1352691405001,1352691405001,1352691404836,0,0,1352691404837,1352691404985,1352691404985,148,164,1352691404986,1352691404986
