__fxdriver_unwrapped,connectEnd,connectStart,domComplete,domContentLoadedEventEnd,domContentLoadedEventStart,domInteractive,domLoading,domainLookupEnd,domainLookupStart,fetchStart,loadEventEnd,loadEventStart,navigationStart,redirectEnd,redirectStart,requestStart,responseEnd,responseStart,responseWaitTime,totalLoadWaitTime,unloadEventEnd,unloadEventStart
true,1352682912773,1352682912773,1352682915475,1352682914566,1352682914562,1352682914554,1352682912797,1352682912764,1352682912764,1352682912773,1352682915476,1352682915475,1352682912763,0,0,1352682912783,1352682912818,1352682912789,1696,2693,0,0
true,1352682915517,1352682915517,1352682915608,1352682915608,1352682915605,1352682915601,1352682915522,1352682915517,1352682915517,1352682915517,1352682915609,1352682915608,1352682915517,0,0,1352682915518,1352682915551,1352682915522,55,91,1352682915522,1352682915522
true,1352682915650,1352682915650,1352682915741,1352682915741,1352682915737,1352682915733,1352682915654,1352682915650,1352682915650,1352682915650,1352682915741,1352682915741,1352682915650,0,0,1352682915651,1352682915680,1352682915654,54,90,1352682915654,1352682915654
true,1352682915783,1352682915783,1352682915872,1352682915872,1352682915869,1352682915865,1352682915787,1352682915783,1352682915783,1352682915783,1352682915872,1352682915872,1352682915783,0,0,1352682915784,1352682915810,1352682915786,54,88,1352682915787,1352682915787
true,1352682915916,1352682915916,1352682916001,1352682916001,1352682915998,1352682915993,1352682915920,1352682915916,1352682915916,1352682915916,1352682916002,1352682916001,1352682915916,0,0,1352682915917,1352682915940,1352682915920,49,85,1352682915920,1352682915920
true,1352682916043,1352682916043,1352682916133,1352682916133,1352682916130,1352682916126,1352682916047,1352682916043,1352682916043,1352682916043,1352682916134,1352682916133,1352682916043,0,0,1352682916044,1352682916070,1352682916046,54,90,1352682916047,1352682916047
true,1352682916179,1352682916179,1352682916267,1352682916267,1352682916261,1352682916257,1352682916183,1352682916179,1352682916179,1352682916179,1352682916268,1352682916267,1352682916179,0,0,1352682916180,1352682916207,1352682916183,52,88,1352682916183,1352682916183
true,1352682916311,1352682916311,1352682916398,1352682916398,1352682916392,1352682916388,1352682916321,1352682916310,1352682916310,1352682916311,1352682916399,1352682916398,1352682916310,0,0,1352682916311,1352682916335,1352682916314,49,88,1352682916322,1352682916321
true,1352682916444,1352682916444,1352682916536,1352682916536,1352682916529,1352682916525,1352682916456,1352682916443,1352682916443,1352682916444,1352682916537,1352682916536,1352682916443,0,0,1352682916444,1352682916466,1352682916447,52,93,1352682916456,1352682916456
true,1352682916579,1352682916579,1352682916668,1352682916668,1352682916665,1352682916661,1352682916583,1352682916579,1352682916579,1352682916579,1352682916669,1352682916668,1352682916579,0,0,1352682916580,1352682916605,1352682916583,52,89,1352682916583,1352682916583
