__fxdriver_unwrapped,connectEnd,connectStart,domComplete,domContentLoadedEventEnd,domContentLoadedEventStart,domInteractive,domLoading,domainLookupEnd,domainLookupStart,fetchStart,loadEventEnd,loadEventStart,navigationStart,redirectEnd,redirectStart,requestStart,responseEnd,responseStart,responseWaitTime,totalLoadWaitTime,unloadEventEnd,unloadEventStart
true,1352687841240,1352687841240,1352687844077,1352687842257,1352687842249,1352687842193,1352687841261,1352687841232,1352687841231,1352687841240,1352687844078,1352687844077,1352687841230,0,0,1352687841251,1352687841284,1352687841255,804,2827,0,0
true,1352687844135,1352687844135,1352687844271,1352687844270,1352687844265,1352687844250,1352687844149,1352687844135,1352687844135,1352687844135,1352687844271,1352687844271,1352687844135,0,0,1352687844137,1352687844169,1352687844140,76,134,1352687844149,1352687844149
true,1352687844336,1352687844336,1352687844485,1352687844484,1352687844479,1352687844474,1352687844352,1352687844335,1352687844335,1352687844336,1352687844485,1352687844485,1352687844335,0,0,1352687844336,1352687844369,1352687844340,81,149,1352687844352,1352687844352
true,1352687844551,1352687844551,1352687844691,1352687844690,1352687844685,1352687844676,1352687844556,1352687844551,1352687844551,1352687844551,1352687844692,1352687844691,1352687844551,0,0,1352687844552,1352687844584,1352687844555,74,140,1352687844556,1352687844556
true,1352687844748,1352687844748,1352687844845,1352687844844,1352687844841,1352687844836,1352687844764,1352687844748,1352687844748,1352687844748,1352687844845,1352687844845,1352687844748,0,0,1352687844749,1352687844777,1352687844752,58,96,1352687844764,1352687844764
true,1352687844886,1352687844886,1352687844981,1352687844980,1352687844977,1352687844973,1352687844890,1352687844886,1352687844886,1352687844886,1352687844981,1352687844981,1352687844886,0,0,1352687844887,1352687844913,1352687844890,54,94,1352687844890,1352687844890
true,1352687845029,1352687845029,1352687845119,1352687845119,1352687845116,1352687845112,1352687845033,1352687845029,1352687845029,1352687845029,1352687845120,1352687845119,1352687845029,0,0,1352687845030,1352687845057,1352687845033,54,90,1352687845033,1352687845033
true,1352687845166,1352687845166,1352687845314,1352687845313,1352687845308,1352687845296,1352687845181,1352687845165,1352687845165,1352687845166,1352687845315,1352687845314,1352687845165,0,0,1352687845166,1352687845199,1352687845171,85,149,1352687845182,1352687845181
true,1352687845369,1352687845369,1352687845513,1352687845512,1352687845507,1352687845494,1352687845384,1352687845368,1352687845368,1352687845369,1352687845515,1352687845513,1352687845368,0,0,1352687845369,1352687845400,1352687845373,80,146,1352687845385,1352687845384
true,1352687845595,1352687845595,1352687845754,1352687845752,1352687845747,1352687845735,1352687845616,1352687845594,1352687845594,1352687845595,1352687845754,1352687845754,1352687845594,0,0,1352687845595,1352687845637,1352687845603,93,159,1352687845617,1352687845616
