__fxdriver_unwrapped,connectEnd,connectStart,domComplete,domContentLoadedEventEnd,domContentLoadedEventStart,domInteractive,domLoading,domainLookupEnd,domainLookupStart,fetchStart,loadEventEnd,loadEventStart,navigationStart,redirectEnd,redirectStart,requestStart,responseEnd,responseStart,responseWaitTime,totalLoadWaitTime,unloadEventEnd,unloadEventStart
true,1352695827124,1352695827124,1352695831396,1352695831396,1352695831389,1352695831388,1352695827150,1352695827116,1352695827114,1352695827124,1352695831397,1352695831396,1352695827113,0,0,1352695827136,1352695831386,1352695827140,777,4261,0,0
true,1352695831462,1352695831462,1352695836582,1352695836581,1352695836575,1352695836573,1352695831466,1352695831461,1352695831461,1352695831462,1352695836582,1352695836582,1352695831461,0,0,1352695831462,1352695836572,1352695831466,732,5120,1352695831466,1352695831466
true,1352695836740,1352695836740,1352695841728,1352695841728,1352695841722,1352695841720,1352695836757,1352695836739,1352695836739,1352695836740,1352695841729,1352695841728,1352695836739,0,0,1352695836752,1352695841719,1352695836757,955,4977,1352695836758,1352695836757
true,1352695841792,1352695841792,1352695845447,1352695845447,1352695845441,1352695845439,1352695841797,1352695841791,1352695841791,1352695841792,1352695845448,1352695845447,1352695841791,0,0,1352695841792,1352695845438,1352695841797,503,3656,1352695841798,1352695841797
true,1352695845513,1352695845513,1352695850267,1352695850266,1352695850260,1352695850258,1352695845518,1352695845512,1352695845512,1352695845513,1352695850267,1352695850267,1352695845512,0,0,1352695845514,1352695850258,1352695845518,493,4753,1352695845518,1352695845518
true,1352695850661,1352695850661,1352695855978,1352695855977,1352695855971,1352695855969,1352695850665,1352695850660,1352695850660,1352695850661,1352695855978,1352695855978,1352695850660,0,0,1352695850661,1352695855969,1352695850665,905,5317,1352695850665,1352695850665
true,1352695856047,1352695856047,1352695860084,1352695860084,1352695860077,1352695860076,1352695856051,1352695856046,1352695856046,1352695856047,1352695860085,1352695860084,1352695856046,0,0,1352695856047,1352695860075,1352695856051,842,4038,1352695856052,1352695856052
true,1352695860147,1352695860147,1352695866248,1352695866248,1352695866241,1352695866240,1352695860151,1352695860146,1352695860146,1352695860147,1352695866249,1352695866248,1352695860146,0,0,1352695860147,1352695866239,1352695860151,1555,6102,1352695860151,1352695860151
true,1352695866313,1352695866313,1352695871639,1352695871638,1352695871632,1352695871631,1352695866327,1352695866312,1352695866312,1352695866313,1352695871639,1352695871639,1352695866312,0,0,1352695866314,1352695871630,1352695866318,744,5325,1352695866327,1352695866327
true,1352695871700,1352695871700,1352695875308,1352695875308,1352695875302,1352695875300,1352695871706,1352695871699,1352695871699,1352695871700,1352695875309,1352695875308,1352695871699,0,0,1352695871700,1352695875299,1352695871705,570,3609,1352695871706,1352695871706
true,1352695875375,1352695875375,1352695880416,1352695880415,1352695880409,1352695880407,1352695875389,1352695875374,1352695875374,1352695875375,1352695880416,1352695880416,1352695875374,0,0,1352695875375,1352695880406,1352695875379,510,5041,1352695875389,1352695875389
true,1352695880481,1352695880481,1352695885443,1352695885443,1352695885437,1352695885435,1352695880486,1352695880480,1352695880480,1352695880481,1352695885444,1352695885443,1352695880480,0,0,1352695880482,1352695885431,1352695880485,746,4962,1352695880486,1352695880486
true,1352695885500,1352695885500,1352695889301,1352695889300,1352695889294,1352695889293,1352695885504,1352695885499,1352695885499,1352695885500,1352695889301,1352695889301,1352695885499,0,0,1352695885500,1352695889291,1352695885503,787,3801,1352695885504,1352695885504
true,1352695889367,1352695889367,1352695894479,1352695894478,1352695894472,1352695894471,1352695889371,1352695889366,1352695889366,1352695889367,1352695894479,1352695894479,1352695889366,0,0,1352695889368,1352695894469,1352695889371,619,5111,1352695889372,1352695889372
true,1352695894538,1352695894538,1352695899501,1352695899501,1352695899495,1352695899493,1352695894551,1352695894537,1352695894537,1352695894538,1352695899502,1352695899501,1352695894537,0,0,1352695894539,1352695899492,1352695894546,733,4963,1352695894552,1352695894551
true,1352695899565,1352695899565,1352695903278,1352695903277,1352695903271,1352695903270,1352695899570,1352695899564,1352695899564,1352695899565,1352695903278,1352695903278,1352695899564,0,0,1352695899565,1352695903269,1352695899570,740,3713,1352695899570,1352695899570
true,1352695903341,1352695903341,1352695908986,1352695908986,1352695908980,1352695908978,1352695903346,1352695903340,1352695903340,1352695903341,1352695908987,1352695908986,1352695903340,0,0,1352695903341,1352695908977,1352695903346,516,5646,1352695903347,1352695903346
